time,BSSID,freq,level
1364357391,1c:17:d3:fc:db:63,2462,-74
1364357391,28:37:37:28:a5:cd,2417,-2
1364357391,98:fc:11:47:c2:c9,2437,-63
1364357391,ac:a0:16:ca:5b:d0,2437,-87
1364357391,ac:a0:16:ca:5d:81,2412,-74

1364357907,1c:17:d3:fc:db:63,2462,-74
1364357907,28:37:37:28:a5:cd,2417,-54
1364357907,98:fc:11:47:c2:c9,2437,-81
1364357907,ac:a0:16:ca:5b:d1,2437,-86
1364357907,ac:a0:16:ca:5d:82,2412,-74

1364358591,1c:17:d3:fc:db:63,2462,-74
1364358591,28:37:37:28:a5:cd,2417,-54
1364358591,98:fc:11:47:c2:c9,2437,-81
1364358591,ac:a0:16:ca:5b:d1,2437,-86
1364358591,ac:a0:16:ca:5d:82,2412,-74

1364359730,1c:17:d3:fc:db:63,2462,-74
1364359730,28:37:37:28:a5:cd,2417,-66
1364359730,98:fc:11:47:c2:c9,2437,-77
1364359730,ac:a0:16:ca:5b:d0,2437,-85
1364359730,ac:a0:16:ca:5d:82,2412,-72
1364359730,d0:57:4c:08:7a:90,2437,-89

1364359791,1c:17:d3:fc:db:63,2462,-74
1364359791,28:37:37:28:a5:cd,2417,-13
1364359791,98:fc:11:47:c2:c9,2437,-15
1364359791,ac:a0:16:ca:5b:d0,2437,-85
1364359791,ac:a0:16:ca:5d:82,2412,-72
1364359791,d0:57:4c:08:7a:90,2437,-89

1364360991,1c:17:d3:fc:db:63,2462,-74
1364360991,28:37:37:28:a5:cd,2417,-13
1364360991,98:fc:11:47:c2:c9,2437,-15
1364360991,ac:a0:16:ca:5b:d0,2437,-85
1364360991,ac:a0:16:ca:5d:82,2412,-72
1364360991,d0:57:4c:08:7a:90,2437,-89

1364361536,1c:17:d3:fc:db:63,2462,-74
1364361536,28:37:37:28:a5:cd,2417,-58
1364361536,98:fc:11:47:c2:c9,2437,-59
1364361536,ac:a0:16:ca:5b:d3,2437,-83
1364361536,ac:a0:16:ca:5d:82,2412,-72

1364362191,1c:17:d3:fc:db:63,2462,-74
1364362191,28:37:37:28:a5:cd,2417,-58
1364362191,98:fc:11:47:c2:c9,2437,-59
1364362191,ac:a0:16:ca:5b:d3,2437,-83
1364362191,ac:a0:16:ca:5d:82,2412,-72

1364363341,1c:17:d3:fc:db:63,2462,-74
1364363341,28:37:37:28:a5:cd,2417,-70
1364363341,98:fc:11:47:c2:c9,2437,-71
1364363341,ac:a0:16:ca:5b:d2,2437,-83
1364363341,ac:a0:16:ca:5d:82,2412,-72

1364363391,1c:17:d3:fc:db:63,2462,-74
1364363391,28:37:37:28:a5:cd,2417,-14
1364363391,98:fc:11:47:c2:c9,2437,-74
1364363391,ac:a0:16:ca:5b:d2,2437,-83
1364363391,ac:a0:16:ca:5d:82,2412,-72

1364364591,1c:17:d3:fc:db:63,2462,-74
1364364591,28:37:37:28:a5:cd,2417,-61
1364364591,98:fc:11:47:c2:c9,2437,-74
1364364591,ac:a0:16:ca:5b:d2,2437,-83
1364364591,ac:a0:16:ca:5d:82,2412,-77

1364365182,1c:17:d3:fc:db:63,2462,-74
1364365182,28:37:37:28:a5:cd,2417,-65
1364365182,ac:a0:16:ca:5b:d1,2437,-82
1364365182,ac:a0:16:ca:5d:82,2412,-77

1364365791,1c:17:d3:fc:db:63,2462,-74
1364365791,28:37:37:28:a5:cd,2417,-65
1364365791,ac:a0:16:ca:5b:d1,2437,-82
1364365791,ac:a0:16:ca:5d:82,2412,-77

1364366991,1c:17:d3:fc:db:63,2462,-74
1364366991,28:37:37:28:a5:cd,2417,-13
1364366991,98:fc:11:47:c2:c9,2437,0
1364366991,ac:a0:16:ca:5b:d1,2437,-82
1364366991,ac:a0:16:ca:5d:82,2412,-78

1364368191,1c:17:d3:fc:db:63,2462,-74
1364368191,98:fc:11:47:c2:c9,2437,0
1364368191,ac:a0:16:ca:5d:82,2412,-77

1364368806,1c:17:d3:fc:db:63,2462,-74
1364368806,28:37:37:28:a5:cd,2417,-74
1364368806,36:a9:05:12:34:f9,2437,-92
1364368806,98:fc:11:47:c2:c9,2437,-61
1364368806,ac:a0:16:ca:5d:82,2412,-77

1364369391,1c:17:d3:fc:db:63,2462,-74
1364369391,28:37:37:28:a5:cd,2417,-14
1364369391,36:a9:05:12:34:f9,2437,-92
1364369391,98:fc:11:47:c2:c9,2437,-12
1364369391,ac:a0:16:ca:5d:81,2412,-76

1364370591,1c:17:d3:fc:db:63,2462,-74
1364370591,28:37:37:28:a5:cd,2417,-2
1364370591,36:a9:05:12:34:f9,2437,-92
1364370591,98:fc:11:47:c2:c9,2437,-2
1364370591,ac:a0:16:ca:5b:d3,2437,-86
1364370591,ac:a0:16:ca:5d:80,2412,-75

1364370666,1c:17:d3:fc:db:63,2462,-74
1364370666,28:37:37:28:a5:cd,2417,-64
1364370666,36:a9:05:12:34:f9,2437,-92
1364370666,98:fc:11:47:c2:c9,2437,-12
1364370666,ac:a0:16:ca:5b:d3,2437,-86
1364370666,ac:a0:16:ca:5d:80,2412,-75

1364371791,1c:17:d3:fc:db:63,2462,-74
1364371791,28:37:37:28:a5:cd,2417,-64
1364371791,98:fc:11:47:c2:c9,2437,-12
1364371791,ac:a0:16:ca:5b:d3,2437,-86
1364371791,ac:a0:16:ca:5d:82,2412,-76

1364372479,1c:17:d3:fc:db:63,2462,-74
1364372479,28:37:37:28:a5:cd,2417,-69
1364372479,98:fc:11:47:c2:c9,2437,-59
1364372479,98:fc:11:95:0e:e5,2462,-63
1364372479,ac:a0:16:ca:5b:d0,2437,-84
1364372479,ac:a0:16:ca:5d:82,2412,-76

1364372991,1c:17:d3:fc:db:63,2462,-74
1364372991,28:37:37:28:a5:cd,2417,-69
1364372991,98:fc:11:47:c2:c9,2437,-59
1364372991,98:fc:11:95:0e:e5,2462,-63
1364372991,ac:a0:16:ca:5b:d0,2437,-84
1364372991,ac:a0:16:ca:5d:82,2412,-76

1364374191,1c:17:d3:fc:db:63,2462,-74
1364374191,28:37:37:28:a5:cd,2417,-69
1364374191,98:fc:11:47:c2:c9,2437,-2
1364374191,98:fc:11:95:0e:e5,2462,-63
1364374191,ac:a0:16:ca:5b:d0,2437,-84
1364374191,ac:a0:16:ca:5d:80,2412,-76

1364374326,1c:17:d3:fc:db:63,2462,-74
1364374326,28:37:37:28:a5:cd,2417,-79
1364374326,36:a9:05:12:34:f9,2437,-92
1364374326,98:fc:11:47:c2:c9,2437,-60
1364374326,98:fc:11:95:0e:e5,2462,-64
1364374326,ac:a0:16:ca:5b:d0,2437,-86
1364374326,ac:a0:16:ca:5d:80,2412,-76

1364375391,1c:17:d3:fc:db:63,2462,-74
1364375391,28:37:37:28:a5:cd,2417,-79
1364375391,36:a9:05:12:34:f9,2437,-92
1364375391,98:fc:11:47:c2:c9,2437,-12
1364375391,98:fc:11:95:0e:e5,2462,-64
1364375391,ac:a0:16:ca:5b:d2,2437,-87
1364375391,ac:a0:16:ca:5d:81,2412,-77

1364376141,1c:17:d3:fc:db:63,2462,-74
1364376141,28:37:37:28:a5:cd,2417,-67
1364376141,98:fc:11:47:c2:c9,2437,-60
1364376141,ac:a0:16:ca:5b:d2,2437,-85
1364376141,ac:a0:16:ca:5d:81,2412,-76

1364376591,1c:17:d3:fc:db:63,2462,-74
1364376591,28:37:37:28:a5:cd,2417,-13
1364376591,98:fc:11:47:c2:c9,2437,-60
1364376591,ac:a0:16:ca:5b:d2,2437,-85
1364376591,ac:a0:16:ca:5d:81,2412,-76

1364377791,1c:17:d3:fc:db:63,2462,-74
1364377791,28:37:37:28:a5:cd,2417,-13
1364377791,98:fc:11:47:c2:c9,2437,-60
1364377791,ac:a0:16:ca:5b:d2,2437,-85
1364377791,ac:a0:16:ca:5d:83,2412,-76

1364377986,1c:17:d3:fc:db:63,2462,-74
1364377986,28:37:37:28:a5:cd,2417,-62
1364377986,36:a9:05:12:34:f9,2437,-94
1364377986,98:fc:11:47:c2:c9,2437,-75
1364377986,98:fc:11:95:0e:e5,2462,-62
1364377986,ac:a0:16:ca:5b:d2,2437,-84
1364377986,ac:a0:16:ca:5d:82,2412,-76

1364378991,1c:17:d3:fc:db:63,2462,-74
1364378991,28:37:37:28:a5:cd,2417,-62
1364378991,36:a9:05:12:34:f9,2437,-94
1364378991,98:fc:11:47:c2:c9,2437,-15
1364378991,98:fc:11:95:0e:e5,2462,-62
1364378991,ac:a0:16:ca:5b:d2,2437,-84
1364378991,ac:a0:16:ca:5d:82,2412,-76

1364379792,1c:17:d3:fc:db:63,2462,-74
1364379792,28:37:37:28:a5:cd,2417,-74
1364379792,36:a9:05:12:34:f9,2437,-93
1364379792,98:fc:11:47:c2:c9,2437,-60
1364379792,98:fc:11:95:0e:e5,2462,-63
1364379792,ac:a0:16:ca:5b:d1,2437,-85

1364380191,1c:17:d3:fc:db:63,2462,-74
1364380191,28:37:37:28:a5:cd,2417,-14
1364380191,36:a9:05:12:34:f9,2437,-93
1364380191,98:fc:11:47:c2:c9,2437,-12
1364380191,98:fc:11:95:0e:e5,2462,-63
1364380191,ac:a0:16:ca:5b:d1,2437,-85
1364380191,ac:a0:16:ca:5d:82,2412,-76

1364381391,1c:17:d3:fc:db:63,2462,-74
1364381391,28:37:37:28:a5:cd,2417,0
1364381391,98:fc:11:47:c2:c9,2437,0
1364381391,ac:a0:16:ca:5d:82,2412,-76

1364381602,1c:17:d3:fc:db:63,2462,-74
1364381602,28:37:37:28:a5:cd,2417,-63
1364381602,36:a9:05:12:34:f9,2437,-92
1364381602,98:fc:11:47:c2:c9,2437,-60
1364381602,ac:a0:16:ca:5b:d2,2437,-84
1364381602,ac:a0:16:ca:5d:82,2412,-75

1364382591,1c:17:d3:fc:db:63,2462,-74
1364382591,28:37:37:28:a5:cd,2417,-63
1364382591,36:a9:05:12:34:f9,2437,-92
1364382591,98:fc:11:47:c2:c9,2437,-12
1364382591,ac:a0:16:ca:5b:d2,2437,-84
1364382591,ac:a0:16:ca:5d:82,2412,-75

1364383443,1c:17:d3:fc:db:63,2462,-74
1364383443,28:37:37:28:a5:cd,2417,-67
1364383443,36:a9:05:12:34:f9,2437,-88
1364383443,98:fc:11:47:c2:c9,2437,-62
1364383443,ac:a0:16:ca:5b:d3,2437,-83
1364383443,ac:a0:16:ca:5d:82,2412,-76

1364383791,1c:17:d3:fc:db:63,2462,-74
1364383791,28:37:37:28:a5:cd,2417,-67
