time,location
1364414219,in[sudikoff],
1364414237,in[sudikoff],
1364414247,in[sudikoff],
1364414257,in[sudikoff],
1364414268,in[sudikoff],
1364414278,in[sudikoff],
1364414288,in[sudikoff],
1364414298,in[sudikoff],
1364414309,in[sudikoff],
1364414319,in[sudikoff],
1364414329,in[sudikoff],
1364414339,in[sudikoff],
1364414349,in[sudikoff],
1364414359,in[sudikoff],
1364414370,in[sudikoff],
1364414380,in[sudikoff],
1364414390,in[sudikoff],
1364414400,in[sudikoff],
1364414410,in[sudikoff],
1364414420,in[sudikoff],
1364414430,in[sudikoff],
1364414441,in[sudikoff],
1364414451,in[sudikoff],
1364414461,in[sudikoff],
1364414476,in[sudikoff],
1364414488,in[sudikoff],
1364414502,in[sudikoff],
1364414513,in[sudikoff],
1364414523,in[sudikoff],
1364414533,in[sudikoff],
1364414543,in[sudikoff],
1364414553,in[sudikoff],
1364414563,in[sudikoff],
1364414573,in[sudikoff],
1364414583,in[sudikoff],
1364414594,in[sudikoff],
1364414604,in[sudikoff],
1364414614,in[sudikoff],
1364414624,in[sudikoff],
1364414634,in[sudikoff],
1364414644,in[sudikoff],
1364414655,in[sudikoff],
1364414665,in[sudikoff],
1364414676,in[sudikoff],
1364414686,in[sudikoff],
1364414696,in[sudikoff],
1364414706,in[sudikoff],
1364414716,in[sudikoff],
1364414726,in[sudikoff],
1364414736,in[sudikoff],
1364414746,in[sudikoff],
1364414757,in[sudikoff],
1364414767,in[sudikoff],
1364414778,in[sudikoff],
1364414788,in[sudikoff],
1364414798,in[sudikoff],
1364414808,in[sudikoff],
1364414818,in[sudikoff],
1364414829,in[sudikoff],
1364414839,in[sudikoff],
1364414849,in[sudikoff],
1364414859,in[sudikoff],
1364414870,in[sudikoff],
1364414880,in[sudikoff],
1364414890,in[sudikoff],
1364414900,in[sudikoff],
1364414910,in[sudikoff],
1364414920,in[sudikoff],
1364414930,in[sudikoff],
1364414941,in[sudikoff],
1364414951,in[sudikoff],
1364414961,in[sudikoff],
1364414971,in[sudikoff],
1364414982,in[sudikoff],
1364414992,in[sudikoff],
1364415027,in[sudikoff],
1364415042,in[sudikoff],
1364415053,in[sudikoff],
1364415063,in[sudikoff],
1364415079,in[sudikoff],
1364415089,in[sudikoff],
1364415099,in[sudikoff],
1364415110,in[sudikoff],
1364415125,in[sudikoff],
1364415135,in[sudikoff],
1364415146,in[sudikoff],
1364415156,in[sudikoff],
1364415172,in[sudikoff],
1364415182,in[sudikoff],
1364415192,in[sudikoff],
1364415211,in[sudikoff],
1364415229,in[sudikoff],
1364415240,in[sudikoff],
1364415250,in[sudikoff],
1364415272,in[sudikoff],
1364415318,in[north-main],
1364415329,in[north-main],
1364415339,in[north-main],
1364415349,in[north-main],
1364415359,in[north-main],
1364415369,in[north-main],
1364415396,in[north-main],
1364415411,in[north-main],
1364415422,in[north-main],
1364415432,in[north-main],
1364415442,in[north-main],
1364415452,in[north-main],
1364415462,in[north-main],
1364415472,in[north-main],
1364415483,in[north-main],
1364415493,in[north-main],
1364415503,in[north-main],
1364415513,in[north-main],
1364415523,in[north-main],
1364415533,in[north-main],
1364415543,in[north-main],
1364415553,in[north-main],
1364415563,in[north-main],
1364415573,in[north-main],
1364415584,in[north-main],
1364415594,in[north-main],
1364415604,in[north-main],
1364415614,in[north-main],
1364415624,in[north-main],
1364415634,in[north-main],
1364415644,in[north-main],
1364415655,in[north-main],
1364415665,in[north-main],
1364415675,in[north-main],
1364415685,in[north-main],
1364415695,in[north-main],
1364415705,in[north-main],
1364415715,in[north-main],
1364415725,in[north-main],
1364415736,in[north-main],
1364415746,in[north-main],
1364415756,in[north-main],
1364415766,in[north-main],
1364415776,in[north-main],
1364415786,in[north-main],
1364415796,in[north-main],
1364415806,in[north-main],
1364415816,in[north-main],
1364415827,in[north-main],
1364415837,in[north-main],
1364415847,in[north-main],
1364415857,in[north-main],
1364415868,in[north-main],
1364415878,in[north-main],
1364415888,in[north-main],
1364415898,in[north-main],
1364415908,in[north-main],
1364415918,in[north-main],
1364415929,in[north-main],
1364415939,in[north-main],
1364415949,in[north-main],
1364415960,in[north-main],
1364415970,in[north-main],
1364415981,in[north-main],
1364415991,in[north-main],
1364416001,in[north-main],
1364416025,in[north-main],
1364416045,in[north-main],
1364416065,in[north-main],
1364416085,in[north-main],
1364416105,in[north-main],
1364416125,in[north-main],
1364416145,in[north-main],
1364416155,in[north-main],
1364416166,in[north-main],
1364416176,in[north-main],
1364416186,in[north-main],
1364416196,in[north-main],
1364416206,in[north-main],
1364416217,in[north-main],
1364416228,in[north-main],
1364416249,in[north-main],
1364416269,in[north-main],
1364416289,in[north-main],
1364416309,in[north-main],
1364416330,in[north-main],
1364416347,in[north-main],
1364416357,in[north-main],
1364416377,in[north-main],
1364416387,in[north-main],
1364416397,in[north-main],
1364416408,in[north-main],
1364416418,in[north-main],
1364416428,in[north-main],
1364416438,in[north-main],
1364416464,in[north-main],
1364416484,in[north-main],
1364416504,in[north-main],
1364416522,in[north-main],
1364416532,in[north-main],
1364416542,in[north-main],
1364416552,in[north-main],
1364416562,in[north-main],
1364416573,in[north-main],
1364416595,in[north-main],
1364416615,in[north-main],
1364416627,in[north-main],
1364416637,in[north-main],
1364416647,in[north-main],
1364416674,in[north-main],
1364416694,in[north-main],
1364416714,in[north-main],
1364416733,in[north-main],
1364416743,in[north-main],
1364416753,in[north-main],
1364416763,in[north-main],
1364416774,in[north-main],
1364416784,in[north-main],
1364416794,in[north-main],
1364416804,in[north-main],
1364416814,in[north-main],
1364416825,in[north-main],
1364416835,in[north-main],
1364416845,in[north-main],
1364416855,in[north-main],
1364416865,in[north-main],
1364416876,in[north-main],
1364416886,in[north-main],
1364416896,in[north-main],
1364416906,in[north-main],
1364416916,in[north-main],
1364416926,in[north-main],
1364416937,in[north-main],
1364416947,in[north-main],
1364416957,in[north-main],
1364416967,in[north-main],
1364416977,in[north-main],
1364416988,in[north-main],
1364416998,in[north-main],
1364417008,in[north-main],
1364417018,in[north-main],
1364417028,in[north-main],
1364417038,in[north-main],
1364417049,in[north-main],
1364417059,in[north-main],
1364417069,in[north-main],
1364417079,in[north-main],
1364417089,in[north-main],
1364417099,in[north-main],
1364417110,in[north-main],
1364417120,in[north-main],
1364417130,in[north-main],
1364417140,in[north-main],
1364417150,in[north-main],
1364417160,in[north-main],
1364417171,in[north-main],
1364417181,in[north-main],
1364417191,in[north-main],
1364417201,in[north-main],
1364417211,in[north-main],
1364417221,in[north-main],
1364417232,in[north-main],
1364417242,in[north-main],
1364417252,in[north-main],
1364417262,in[north-main],
1364417272,in[north-main],
1364417283,in[north-main],
1364417293,in[north-main],
1364417303,in[north-main],
1364417313,in[north-main],
1364417323,in[north-main],
1364417334,in[north-main],
1364417344,in[north-main],
1364417354,in[north-main],
1364417364,in[north-main],
1364417374,in[north-main],
1364417385,in[north-main],
1364417395,in[north-main],
1364417405,in[north-main],
1364417425,in[north-main],
1364417435,in[north-main],
1364417445,in[north-main],
1364417455,in[north-main],
1364417465,in[north-main],
1364417475,in[north-main],
1364417486,in[north-main],
1364417496,in[north-main],
1364417506,in[north-main],
1364417516,in[north-main],
1364417526,in[north-main],
1364417536,in[north-main],
1364417546,in[north-main],
1364417556,in[north-main],
1364417566,in[north-main],
1364417576,in[north-main],
1364417587,in[north-main],
1364417597,in[north-main],
1364417607,in[north-main],
1364417617,in[north-main],
1364417627,in[north-main],
1364417637,in[north-main],
1364417647,in[north-main],
1364417657,in[north-main],
1364417667,in[north-main],
1364417677,in[north-main],
1364417688,in[north-main],
1364417698,in[north-main],
1364417708,in[north-main],
1364417718,in[north-main],
1364417728,in[north-main],
1364417738,in[north-main],
1364417748,in[north-main],
1364417758,in[north-main],
1364417768,in[north-main],
1364417778,in[north-main],
1364417788,in[north-main],
1364417799,in[north-main],
1364417809,in[north-main],
1364417819,in[north-main],
1364417829,in[north-main],
1364417839,in[north-main],
1364417849,in[north-main],
1364417859,in[north-main],
1364417869,in[north-main],
1364417879,in[north-main],
1364417889,in[north-main],
1364417900,in[north-main],
1364417910,in[north-main],
1364417920,in[north-main],
1364417930,in[north-main],
1364417940,in[north-main],
1364417950,in[north-main],
1364417961,in[north-main],
1364417971,in[north-main],
1364417981,in[north-main],
1364417991,in[north-main],
1364418001,in[north-main],
1364418012,in[north-main],
1364418022,in[north-main],
1364418032,in[north-main],
1364418042,in[north-main],
1364418052,in[north-main],
1364418063,in[north-main],
1364418081,in[north-main],
1364418091,in[north-main],
1364418102,in[north-main],
1364418112,in[north-main],
1364418122,in[north-main],
1364418133,in[north-main],
1364418152,in[north-main],
1364418162,in[north-main],
1364418172,in[north-main],
1364418182,in[north-main],
1364418192,in[north-main],
1364418202,in[north-main],
1364418212,in[north-main],
1364418223,in[north-main],
1364418233,in[north-main],
1364418244,in[north-main],
1364418254,in[north-main],
1364418271,in[north-main],
1364418287,in[north-main],
1364418301,in[kemeny],
1364418315,in[kemeny],
1364418328,in[kemeny],
1364418338,in[kemeny],
1364418348,in[kemeny],
1364418358,in[kemeny],
1364418368,near[kemeny; silsby-rocky; carpenterhall; ],
1364418382,near[silsby-rocky; kemeny; carpenterhall; ],
1364418403,near[baker-berry; carpenterhall; silsby-rocky; ],
1364418413,near[baker-berry; carpenterhall; silsby-rocky; ],
1364418426,in[sanborn],
1364418441,near[sanborn; blunt_alumni_center; ],
1364418452,near[sanborn; blunt_alumni_center; ],
1364418462,near[blunt_alumni_center; sanborn; ],
1364418472,near[parkhurst; sanborn; blunt_alumni_center; ],
1364418485,in[parkhurst],
1364418496,in[massrow],
1364418514,in[massrow],
1364418524,in[massrow],
1364418540,in[massrow],
1364418555,in[massrow],
1364418571,in[massrow],
1364418586,in[53_commons],
1364418597,in[53_commons],
1364418607,in[53_commons],
1364418617,in[53_commons],
1364418627,in[53_commons],
1364418637,in[53_commons],
1364418649,in[53_commons],
1364418659,in[53_commons],
1364418670,in[53_commons],
1364418680,in[53_commons],
1364418690,in[53_commons],
1364418700,in[53_commons],
1364418710,in[53_commons],
1364418720,in[53_commons],
1364418737,in[53_commons],
1364418752,in[53_commons],
1364418764,in[53_commons],
1364418774,in[53_commons],
1364418797,in[53_commons],
1364418815,in[53_commons],
1364418834,in[53_commons],
1364418844,in[53_commons],
1364418854,in[53_commons],
1364418865,in[53_commons],
1364418875,in[53_commons],
1364418885,in[53_commons],
1364418895,in[53_commons],
1364418913,in[53_commons],
1364418923,in[53_commons],
1364418933,in[53_commons],
1364418947,in[53_commons],
1364418957,in[53_commons],
1364418967,in[53_commons],
1364418977,in[53_commons],
1364418987,in[53_commons],
1364418997,in[53_commons],
1364419007,in[53_commons],
1364419018,in[53_commons],
1364419034,in[53_commons],
1364419044,in[53_commons],
1364419054,in[53_commons],
1364419064,in[53_commons],
1364419074,in[53_commons],
1364419084,in[53_commons],
1364419094,in[53_commons],
1364419104,in[53_commons],
1364419114,in[53_commons],
1364419124,in[53_commons],
1364419135,in[53_commons],
1364419145,in[53_commons],
1364419155,in[53_commons],
1364419165,in[53_commons],
1364419175,in[53_commons],
1364419185,in[53_commons],
1364419195,in[53_commons],
1364419205,in[53_commons],
1364419215,in[53_commons],
1364419225,in[53_commons],
1364419236,in[53_commons],
1364419246,in[53_commons],
1364419256,in[53_commons],
1364419266,in[53_commons],
1364419276,in[53_commons],
1364419298,in[53_commons],
1364419318,in[53_commons],
1364419328,in[53_commons],
1364419338,in[53_commons],
1364419348,in[53_commons],
1364419358,in[53_commons],
1364419368,in[53_commons],
1364419379,in[53_commons],
1364419389,in[53_commons],
1364419399,in[53_commons],
1364419409,in[53_commons],
1364419419,in[53_commons],
1364419429,in[53_commons],
1364419439,in[53_commons],
1364419449,in[53_commons],
1364419459,in[53_commons],
1364419469,in[53_commons],
1364419479,in[53_commons],
1364419489,in[53_commons],
1364419499,in[53_commons],
1364419509,in[53_commons],
1364419520,in[53_commons],
1364419530,in[53_commons],
1364419540,in[53_commons],
1364419550,in[53_commons],
1364419560,in[53_commons],
1364419570,in[53_commons],
1364419580,in[53_commons],
1364419590,in[53_commons],
1364419600,in[53_commons],
1364419610,in[53_commons],
1364419620,in[53_commons],
1364419630,in[53_commons],
1364419640,in[53_commons],
1364419651,in[53_commons],
1364419661,in[53_commons],
1364419671,in[53_commons],
1364419681,in[53_commons],
1364419691,in[53_commons],
1364419701,in[53_commons],
1364419711,in[53_commons],
